1062	Needs implementation|Machine use cases|Functional language|Ease of use|Needs tests|Status: Underway|Enhancement|FSL	Support ln2
1061	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Needs a feature|Enhancement|FSL	Support Sqrt 1/2
1060	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Enhancement|FSL|Features	Support Sqrt 2
1059	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Enhancement|FSL|Features	Support Euler's Constant
1058	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Needs a feature|Enhancement|FSL	Support Euler's E
1053	Chore|Automation|Meta	Move templates to fsl repo
1051	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Needs a feature|Enhancement|Internationalization	Support unicode equivalents for numerics
1050	Needs implementation|Machine use cases|Ease of use|Graph language|Needs tests|Status: Underway|Needs a feature|Enhancement|FSL	Support Epsilon
1049	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Needs a feature|Enhancement|FSL	Support MinPosNum
1048	Needs implementation|Machine use cases|Ease of use|Graph language|Needs tests|Status: Underway|Enhancement|FSL	Support MaxPosNum
1047	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Enhancement|FSL	Support MinSafeInt
1046	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Needs a feature|Enhancement|FSL	Support MaxSafeInt
1045	Needs implementation|Machine use cases|Ease of use|Needs tests|Types|Status: Underway|Needs a feature|Enhancement|FSL	Support NaN
1044	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Enhancement|FSL|Features	Support NInf
1043	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Enhancement|FSL	Support Inf
1042	Needs implementation|Machine use cases|Ease of use|Needs tests|Types|List issue|Status: Underway|Needs a feature|Enhancement|FSL	I guess now we need real JS numbers
1041	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Static analysis|Functional language|Ease of use|Very powerful|Needs tests|Types|Status: Underway|Needs a feature|Enhancement|FSL	Prop requirement
1040	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Needs a feature|Enhancement|FSL	State props make it into machine
1039	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Needs a feature|Enhancement	Default props make it into machine
1038	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Static analysis|Functional language|Ease of use|Graph language|Very powerful|Needs tests|Status: Underway|Enhancement|FSL	global properties cannot be repeated
1037	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Enhancement|FSL	`.strict_prop` will throw instead of returning `undefined` for missing props
1036	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Graph language|Very powerful|Needs tests|Ahead of its time|Status: Underway|Enhancement|FSL	State prop array in grammar
1035	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Ahead of its time|Status: Underway|Needs a feature|Enhancement|FSL	State prop object in grammar
1034	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Graph language|Very powerful|Needs tests|Status: Underway|Enhancement|FSL	State prop string in grammar
1033	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Graph language|Very powerful|Needs tests|Status: Underway|Core|Enhancement|FSL	State prop number in grammar
1032	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Core|Enhancement|FSL	State prop null in grammar
1031	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Graph language|Bug|Very powerful|Needs tests|Status: Underway|FSL	State prop undefineds in grammar
1030	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Graph language|Very powerful|Needs tests|Types|Status: Underway|Needs a feature|Enhancement|FSL	State prop booleans in grammar
1029	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Enhancement|FSL|Codegen	State props make it through compiler
1028	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Enhancement|Codegen	Default props make it through compiler
1025	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Types|Status: Underway|Needs a feature|Enhancement	Props must be able to express `undefined`
1024	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Needs a feature|Enhancement|FSL|Features	State prop defaults
1023	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Needs a feature|Enhancement	State prop overriding
1022	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Core|Enhancement	Prop internal datastructure
1021	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Enhancement|FSL	Can read validate property key with `.known_prop`
1020	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Enhancement|Features|API	Can read all property keys with `.known_props`
1019	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Needs a feature|Enhancement|API	Can read all properties with `.props`
1018	Needs research|Needs implementation|High priority|Machine use cases|Use cases|Functional language|Ease of use|Very powerful|Needs tests|Status: Underway|Needs a feature|Enhancement|FSL|Features	Can read a property with `.prop`
1012	Needs implementation|High priority|Ease of use|Very powerful|Status: Underway	Serialize must track compacting comment
1011	Needs implementation|High priority|Ease of use|Very powerful|Status: Underway|Core|Enhancement	Serialize must track compacting timestamp
1010	Needs implementation|Ease of use|Very powerful|Needs tests|Status: Underway|Needs a feature|Enhancement	Serialize must refuse to deserialize future versions
1009	Needs implementation|High priority|Ease of use|Very powerful|Status: Underway|Core|Enhancement	Serialize must track the relevant machine version
1006	Needs implementation|High priority|Ease of use|Very powerful|Status: Underway|Core|Enhancement|Typescript|Features	Serialize must handle history
1005	Needs implementation|High priority|Ease of use|Very powerful|Status: Underway|Core|Enhancement|Features	Serialize must handle data
1004	Needs implementation|High priority|Ease of use|Very powerful|Status: Underway|Core|Enhancement|Features	Serialize must handle state
1003	Needs implementation|High priority|Ease of use|Very powerful|Status: Underway|Needs a feature|Enhancement|Features|API	deserialize/2
1002	Needs implementation|High priority|Ease of use|Very powerful|Status: Underway|Enhancement|Features	deserialize/1
1001	Needs implementation|High priority|Ease of use|Very powerful|Status: Underway|Core|Enhancement	serialize/1
1000	Needs implementation|High priority|Ease of use|Very powerful|Status: Underway|Needs a feature|Core|Enhancement	serialize/0
999	Needs implementation|Tooling|Machine use cases|Ease of use|Issue needs work|List issue|Status: Underway|Needs a feature|Enhancement|API	Serialize and deserialize
998	High priority|Test suite|Issue needs work|Needs tests|Low hanging fruit|Enhancement|Visualizations	Viz needs real tests
997	High priority|Bug|Integrations|Build|Dependencies|Visualizations	Viz is broken - not exporting underlying machine
995	Tooling|Documentation Generators|High priority|Integrations|Collected propaganda|Status: Underway|Documentation and docgen|Build|Dependencies|Enhancement|FSL	Bump CLOC to support FSL, PEG in code breakdown
993	Graph language|Bug|Core|FSL	Remove `=` from valid atom letters to cope with `a=>b;` not parsing (le sigh)
992	Needs research|Needs implementation|Machine use cases|Stochastics|Status: Underway|Enhancement	Change randomness to use splitmix randomizer
991	Needs research|Machine use cases|Stochastics|Status: Underway|Stochastic machines|Is blocked|Needs a feature|Enhancement	Add the ability to seed the random generator from the constructor
990	Needs research|Machine use cases|Stochastics|Status: Underway|Stochastic machines|Is blocked|Needs a feature|Enhancement	Add the ability to seed the random generator at runtime
989	Tooling|Documentation Generators|Chore|Cleanup|Documentation and docgen|Typescript	Get rid of TypeDoc warnings about Typescript version
988	Tooling|Chore|Cleanup|Low hanging fruit|Documentation and docgen|Typescript	Get rid of TypeDoc warnings about missing/non-exported properties
987	Test suite|Stochastics|Automation|Very powerful|Needs tests|Status: Underway|Enhancement	Add a third "kitchen sink" stoch test path
985	Needs implementation|Tooling|Documentation Generators|Chore|Readme|Automation|Integrations|Status: Underway|Low hanging fruit|Documentation and docgen|Is blocked|Cli|Blocks others	Tool CLOC for reports and README
981	Tooling|Chore|Static analysis|Automation|Status: Underway|Documentation and docgen|Blocks others	Code quality report
977	Chore|High priority|Ease of use|Status: Underway|Low hanging fruit|Enhancement|API	fluent post_after hook
976	Chore|High priority|Ease of use|Status: Underway|Low hanging fruit|Enhancement|API|Blocks others	fluent post_tape_output hook
975	Chore|High priority|Ease of use|Status: Underway|Low hanging fruit|Enhancement|Typescript|Blocks others	fluent post_tape_input hook
974	Chore|High priority|Ease of use|Status: Underway|Low hanging fruit|Needs a feature|Enhancement|Typescript|API	fluent post_terminate hook
973	Chore|High priority|Ease of use|Status: Underway|Low hanging fruit|Needs a feature|Enhancement|API	fluent post_start hook
972	Chore|High priority|Ease of use|Status: Underway|Low hanging fruit|Needs a feature|Core|Enhancement|Typescript|API	fluent post_reset hook
